"ad_url","ad_city","ad_neighborhood","ad_type","ad_description","ad_hash","ad_price","ad_currency","ad_kvm","ad_price_per_kvm","ad_street","updated_ts","ord"
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b140255922316513,град София,Център,"2-СТАЕН","Идеален център, изключително комуникативно място. На 3 минути пеша от централната метростанция, ЦУМ, Халите. В близост до елитни училища, банки, магазини и др. Намира се на ул.Цар Самуил, близо до бул.Т.Александров. Тиха улица, масивна сграда с голям вътрешен двор, с възможност за паркиране. Заключващ се и поддържан вход. Има и мазе с прозорец, с големината на кухнята, предстои обновяване на общите части на мазетата. Състои се от малка спалня, дневна, кухня, килер с вода, антре и санитарно помещение. Килерът може да бъде преустроен на втори санитарен възел. Без преход, без балкон. Настилки - теракота и циклено дюшаме. Отличен и поддържан апартамент, аристократични тавани - 3.20м, ПВЦ дограма на всякъде, метална врата, банята с теракот и фаянс, сменена ВиК инсталацията, като и щранговете. Възможност за паркомясто. Жилището има възможност за различни преустройства.Без комисион за купувача!!!  0887 23 07 51, 0898 78 06 08","9735d07bb0c782e8e71521bc2be9fd917d16bdfccfb1caaac8bf2ad5220d875c",149900,EUR,47,3189.36,ул. Цар Самуил,2023-10-11 11:43:13.000,1
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b154296185884809,град София,Център,"2-СТАЕН","ОТЛИЧНА ИНВЕСТИЦИЯ - Напълно Обзаведен! АКТ 16! Готов за нанасяне!БЕЗ АНАЛОГ спрямо ЛОКАЦИЯ, Степен на завършеност и комуникативност.Детайлна информация на : www.novdom1.bg - Реф.  : 38380Имотът  Представлява: Входно антре; баня и тоалет в едно, дневен тракт с кухненска част и спалня.Състояние: Имотите   ще бъдат предадени на купувачите в следния вид: *подови настилки - ламиниран паркет, *PVC дограма, *латексово покритие по стените, *баня и тоалетна на фаянс и плочки. Сградата е с 20 см.  топло изолация, нови хоризонтални и вертикални щрангове, качествена хидроизолация на покрива и окачена фасада. Изложението е запад-изток.  Имотът е подходящ и за инвестиция. Между двете сгради ще бъде изграден супер маркет на популярна верига. В сградите се предлагат жилища с квадратура от 41 кв. м. .Отлична Локация: Имота се намира в един от най-предпочитаните за живеене и инвестиция райони на град София. Лесен и бърз достъп до главни пътни артерии , на 1 мин. пеша от спирка на Метро , административни учреждения, банки, училища, детски градини, автобусни спирки, детски площадки, аптеки, търговски центрове, супермаркети, козметични студия, заведения и туристически атракции.Строителство Висококачествено Строителство   стоманобетонна  конструкция посрещащи всички норми за сеизмичност съгласно  БДС . Висок клас ПВЦ  дограма с 65мм профил и 24мм все сезонен стъклопакет . Топлоизолационна система. НОВ ДОМ 1  : Компанията разполага с :  Юридически Отдел - извършващ всички необходими юридически и технически проверки на имота, организира всички етапи на сделката до нейното финализиране с нотариално прехвърляне на имота.  Кредитен Отдел  - съдействащ за отпускане на банков кредит при възможно най-добри условия за клиента, като избора на банка се определя спрямо нуждите и възможностите на клиента.Ако все още не ни познавате, моля изгледайте следващият материал : https://www.youtube.com/watch?v=aST9DQHE8nM&t=3s Консултант Недвижими Имоти  : Петър Христов Виж по-малко... Виж повече","2296886b1134a7b9d0073e1e452994230125dd73e29cf8c32c8e3b959e8021c5",87900,EUR,41,2143.90,Център,2023-10-11 11:44:35.000,1
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b155146990165324,град София,Център,"2-СТАЕН","Двустаен апартамент на ул. Хр.Белчев до ул. Солунска, в нова луксозна сграда. Изключителна инвестиция за отдаване под наем през Airbnb и Booking. Състоящ се от всекидневна с кухн. бокс, спалня, баня с тоал., балкон. Асансьор, ТЕЦ. Изложение - юг и запад. Видеонаблюдение, денощна охрана. Продава се и съседният апартамент, със същите параметри. 0898439121;  087811006",b93af685218c19e9c7545bde4b6df40ee641331d094083febafe276b716c2c0e,280000,EUR,70,4000.00,ул. Христо Белчев,2023-10-11 11:45:41.000,1
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b156796304894370,град София,Център,"2-СТАЕН","Продавам двустаен апартамент на втори жилищен етаж с източно изложение в нова сграда на ул. Кирил и Методий 166. Дневна - 23,30 кв. м. Спалня - 12, 40 кв. м. Баня с WC. Отделно WC. Мазе - 2,30 кв. м. Апартаментът е със застроена площ от 61 кв.м. От собственик.  Акт 16 ноември 2023 г.",e55e13c405e2c9f7a77d8d3497760fc837b501a27ca646ff7f988cb5435c9e2a,172500,EUR,70,2464.29,Център,2023-11-06 07:10:42.000,1
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b160499779488633,град София,Център,"2-СТАЕН","БЕЗ КОМИСИОННА, ДИРЕКТНО ОТ ИНВЕСТИТОРА! GREEN LIFE CITY HOME представя на Вашето внимание най-новия си проект - 1HOME. Той е разположен на тихата улица Охридско езеро, на пешеходно разстояние от Mall of Sofia и Руски паметник. Проектът предлага комуникативна градска локация с удобни транспортни връзки. Наличието на паркова среда и множеството зелени площи на намиращият се в непосредствена близост парк Възраждане, добавят към проекта допълнителна стойност. В близост има още детски градини, училища, спортни съоръжения, множество магазини и супермаркети. 1HOME e проект с модерна градска визия, отличаваща се със съвременност и индивидуализъм. Предлагаме за продажба пет входа с двустайни, тристайни и едностайни апартаменти, подземни паркоместа, гаражи и търговска част. Апартаментите са с правилни форми, високи тавани и всеки един притежава тераса. В сградата има и други свободни апартаменти, можете да се свържете с нас на тел.0894443451. Предимства на проекта: - Изградена и завършена инфраструктура с бърз достъп до основни булеварди бул. Академик Иван Евстратиев Гешов и бул. Александър Стамболийски ; - Модерна визия, изградена на базата на качествени материали; - Панорамни гледки към Витоша и центъра на столицата; - Апартаменти с рационални разпределения и оптимален размер на идеалните части от общите части; - Широки, светли и модерни общи части съгласно индивидуален дизайнерски проект; - Наличието на ТЕЦ; - Висока инвестиционна стойност и гарантирана доходност; - По-високите тавани на апартаментите 2,70м; - Наличие на две подземни нива с гаражи и паркоместа; - Стабилен и реномиран инвеститор с име и традиция, както в София, така и в България победител в конкурса Сграда на годината; Комплексът ще бъде въведен в експлоатация 2024г. Цена  без вкл. ДДС 88 900 евро Виж по-малко... Виж повече","63a145cf041cd3ede04b7c45b35f1c3ff6d4f3655ff5753e7a3d2fa202b6a6cc",89900,EUR,60,1498.33,Център,2023-11-01 09:47:20.000,1
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b161104940415253,град София,Център,"2-СТАЕН","Двустаен апартамент в комплекс на метри от метростанция 'Княгиня Мария Луиза', спирка на трамвай, тролей и автобус, детска градина и болница.Луксозно изпълнение с най-висококачествени материали!Акт 16. Директно от инвеститора.Напълно обзаведен, Готови за нанасяне!За повече информация позвънете на тел:0879 300 3010879 400 600",d16c3feb0c50756c6c7292001f3dd18745d3a62b5ed0ff6024d607c7f0279790,84900,EUR,41,2070.73,бул. Княгиня Мария Луиза,2023-10-11 11:46:03.000,1
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b161122740474673,град София,Център,"2-СТАЕН","ОТЛИЧЕН, НЕПРЕХОДЕН, ФУНКЦИОНАЛЕН ап, на ТОП място в широк център- ул.Панагюрище, на пешеходно разстояние от метростанция, множество спирки на градския транспорт, училище, детска градина, в спокоен и уреден район с много зеленина и магазини, на 10 мин. от Софийската опера. При желание подземно Паркомясто - 12 000 евро, надземно- 10 000 евро. Ап. е много подходяш, както за инвестиция, така и за живеене. Тухла- 2021 г. Асансьор.ЗП: 62.6 кв.м, плюс мазе- 5.26 кв.м.,ид.ч.-11.75кв.м. Сградата е на акт 15, усилено се работи. Акт 16- предстои. Етаж- 1 от 5. РАЗПРЕДЕЛЕНИЕ: просторен хол с кухненски бокс,  самостоятелна стая, баня с тоалетна, коридор. ОТОПЛЕНИЕ: ел.ток. ПОДОВИ НАСТИЛКИ: на шпакловка и замазка, висококачествена PVC дограма. ИЗЛОЖЕНИЕ: С/И. ЗА ПОВЕЧЕ ПОДРОБНОСТИ И ОГЛЕДИ: 0893 410 397, оферта 10466.ж.","1301013af87245c730b2b109189cdba81590f5762c4f47b5a88bb68126988495",139900,EUR,93,1504.30,ул. Георги С. Раковски,2023-10-11 11:45:37.000,1
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b161122769124903,град София,Център,"2-СТАЕН","ОТЛИЧЕН, НЕПРЕХОДЕН, ФУНКЦИОНАЛЕН ап, на ТОП място в широк център- ул.Панагюрище, на пешеходно разстояние от метростанция, множество спирки на градския транспорт, училище, детска градина, в спокоен и уреден район с много зеленина и магазини, на 10 мин. от Софийската опера. При желание подземно Паркомясто - 12 000 евро, надземно- 10 000 евро. Ап. е много подходяш, както за инвестиция, така и за живеене. Тухла- 2021 г. Асансьор.ЗП: 72,65 кв.м, плюс мазе- 5.26 кв.м.,ид.ч.-14,48 кв.м. Сградата е на акт 15, усилено се работи. Акт 16- предстои. Етаж- 1 от 5. РАЗПРЕДЕЛЕНИЕ: просторен хол с кухненски бокс,  самостоятелна стая, баня с тоалетна, коридор. ОТОПЛЕНИЕ: ел.ток. ПОДОВИ НАСТИЛКИ: на шпакловка и замазка, висококачествена PVC дограма. ИЗЛОЖЕНИЕ: хол и стая- ЮГ, втора стая- И. ЗА ПОВЕЧЕ ПОДРОБНОСТИ И ОГЛЕДИ: 0893 410 397, оферта 10466.з.","1f2312d505e680cfb4cb402b9f163524744840521b6104cd9be6dc3962b9683d",139900,EUR,93,1504.30,ул. Георги С. Раковски,2023-10-11 11:43:08.000,1
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b162020897001135,град София,Център,"2-СТАЕН","Артистичен панорамен апартамент на ул.Зайчар, със застроена площ 69 кв.м.(включваща площта на помещенията, терасата и вътрешните стълби),с ид. части общо 79 кв.м., на два етажа-ет.5 и ет.6 в тухлена сграда със съвременни и хубави общи части. По документ за собственост имотът е ателие-жилище. Жилището е южно, с хубава панорама към Витоша и с много добра локация, близо до бул.Ал.Стамболийски, метростанция Константин Величков, разнообразен градски транспорт, пазара Димитър Петков, много магазини, банки и др. Разпределение: първо ниво-входна врата, антре с малък вграден гардероб и вътрешно стълбище, облицовано с мраморни плочи, което води към второто ниво; второ ниво-дневна с кухненски бокс (около 17 кв.м), с преходи към спалня (около 15 кв.м), килер, баня с WC и голяма покрита панорамна тераса (около 15 кв.м). Банята е с хубав фаянс и теракота, подовите покрития са гранитогрес, стени-латекс, PVC дограма, MDF интериорни врати, блиндирана входна врата. В много добър вид е и не се нуждае от освежаване. Към кооперацията има двор, където може да се паркира. Отлична инвестиция както за живеене, така и за отдаване под наем! За клиенти на агенцията! СЪДЕЙСТВИЕ ЗА  БЪРЗИ И ИЗГОДНИ ЖИЛИЩНИ БАНКОВИ КРЕДИТИ! Тел.0888400881 Виж по-малко... Виж повече",c291d00c664a1289ff3c0b897e57610266cdc7bd51945ab6ceed59ec846ba459,140000,EUR,69,2028.99,Център,2023-10-11 11:44:01.000,1
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b162305458728661,град София,Център,"2-СТАЕН","ARCO REAL ESTATE продава двустаен до метро, в сграда със собствен двор, панорамен асансьор, басейн и магазини, завършенен до ключ. Апартаментът се състои от дневна с кухненски бокс,спалня и баня с тоалетна. Ще бъде  предаден с ламинат на пода, латекс на стените, с вътрешни интериорни врати и блиндирана входна врата, баня със санитарен възел завършени и оборудвани със санитария, общи части на гранит.Продавам апартаменти в две реновирани сгради ( ЕПК), намиращи се в непосредствена близост до метростанция, спирки на градския транспорт, болница, жп гара, автогара. В сградата се предлагат: - Двустайни апартаменти ( 40 кв.м. с общи части и застроена площ 31 кв.м), които имат следното разпределение: антре, дневна с кухненски бокс, спалня, баня и тоалетна. Всичките апартаменти, са БЕЗ ТЕРАСИ и се завършват ще бъдат предадени на купувачите в следния вид: * подови настилки - ламиниран паркет, * PVC дограма, * латексово покритие по стените, * баня и тоалетна в завършен вид. Апартаментите са напълно обзаведени с кухненски шкафове, ел.техника, спални комплекти, гардероб и холова част.Сградата е с 15-сантиметрова изолация, нови хоризонтални и вертикални щрангове, качествена хидроизолация на покрива. Изложението е запад-изток. Комплекс, в който се влиза 2 реновирани сгради, магазин и ресторант, свързващи тези 2 блока, външен басейн. Имотът е подходящ и за инвестиция. Добра инвести? Виж по-малко... Виж повече","5995163fd3cb12eaac7991f565b9d3a22e28efa87db5810069ab1ef34a47d867",89900,EUR,41,2192.68,Център,2023-10-11 11:44:21.000,1
