"ad_url","ad_city","ad_neighborhood","ad_type","ad_description","ad_hash","ad_price","ad_currency","ad_kvm","ad_price_per_kvm","ad_street","updated_ts","locations"
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c169774114157803,град София,Център,"3-СТАЕН","Агенция Релард Естейтс има удоволствието да Ви предложи страхотен апартамент за продажба в Центъра на София.Жилището ще Ви впечатли с уникалната си локация, която е на 250м. пешаходно разстояние от Руски паметник, спирки на градски транспорти, супермаркети, учебни заведения, банки, ресторанти и всичко на което можете да се насладите в прекрасната градска среда.Има възможност и за закупуване на подземен гараж - 45 000 евро!Намира се на 1-ви висок етаж от общо 5 етажа в тухлена сграда от 2010 година. Разпределението на имота е както следва: коридор, всекидневна с кухненски бокс, две спални с прилежащи дрешници и две бани с тоалетна. Имотът НЕ е на шпакловка и замаска,но за ремонт!С нас можете не само да закупите имот, но и да се възползвате от редица допълнителни услуги.Агенцията осигурява юридическа консултация на всички свои клиенти, както и съдействие при необходимост от ипотечен кредит.За повече информация моля свържете се с нас на посочените контакти.ID 3016","1c59d7e64d5269565bf780ae4e9d35635656e53d04fc10d5e0642c4f0d7507e2",260000,EUR,115,2260.87,Център,2023-11-12 20:13:13.000,Руски паметник
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b169476325299448,град София,Център,"2-СТАЕН","10% ГОДИШНА ДОХОДНОСТ ! ! !ОТЛИЧНА ЛОКАЦИЯ ! ! ! ТУХЛА ! ! ! Предлагаме на Вашето внимание двустаен апартамент, със следното функционално разпределение: коридор, дневна с кухненски бокс, две спални и баня с тоалетна. Жилището е напълно обзаведено, като се продава с цялостното обзавеждане, включително всички електроуреди. Подобренията в имота са следните: дограмата в имота е подменена с нова PVC, както и водопроводната система е сменена с нова полипропиленова. Настилките в имота са следните под - естествен паркет и ламинат; стени - тапети и латекс. Сградата се намира на изключително комуникативно място, в непосредствена близост до метростанция - 'Сердика', спирки на градски транспорт, както и магазини и заведения.Жилището е разработено чрез Booking и AirBnB, има постоянна заетост, като в момента е ангажиран за следващите два месеца. За ваше улеснение прилагаме схема на разпределение на имота.Обадете се сега и цитирайте този код: 92549.",ad3f9cd4c6fea3e25a764a1e22d2b8056b5a4b438e386446694cc661ad162f97,195990,EUR,54,3629.44,Център,2023-11-12 20:09:06.000,метростанция - ' Сердика '
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c165588139359737,град София,Център,"3-СТАЕН","Оферта: ***13723*** КОРТА ИМОТИ предлага просторен и светъл тристаен апартамент в ТОП Център . Имота се намира на изключително комуникативно място в близост до спирки на градски транспорт, магазини, училища, детски градини и др. ***РАЗПРЕДЕЛЕНИЕ*** Състои се от антре, три самостоятелни спални, дневна с кухненски бокс, баня с тоалетна и балкон.***АКЦЕНТИ****Саниран; * Панорамна гледка; * Поддържани общи части. ***ДОПЪЛНИТЕЛНА ИНФОРМАЦИЯ***- Тухла;- Комуникативно място. За нови предложения и подобни оферти, посетете нашия сайт www.cortaimoti.com или се обадете на *** Тел. 0887 000 452 ***Очакваме Ви на посочения телефон, за да Ви дадем подробна информация относно предлагания имот. Ние сме реномирана компания, което ни задължава да Ви предоставим допълнителни услуги и следпродажбено обслужване. Професионалистите от КОРТА ИМОТИ ще бъдат с Вас през целия процес по покупко-продажба на имота. Допълнитетелните услуги, които предлага екипът ни включва проучване и предлагане на най-добрите оферти на банкови институции за получаване на одобрение за Ипотечен и/или Потребителски кредит, юридически и нотариални услуги, застраховки и др. Ние се стремим да влагаме качество и индивидуален подход във всичко, което правим и да предлагаме на нашите клиенти само най-доброто качество и обслужване.  Виж по-малко... Виж повече","743674e83ef9c2b20aaaaabd0a616f27bb4f974da6d1bc72d8dcc196aaaee30a",307000,EUR,112,2741.07,Център,2023-11-12 20:11:40.000,""
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c168787682351250,град София,Център,"3-СТАЕН","Агенция за недвижими имоти Golden Key ЕКСКЛУЗИВНО предлага апартаменти в НОВ ЛУКСОЗЕН ЗАТВОРЕН ЖИЛИЩЕН КОМПЛЕКС в централната част на гр. София, а именно: ШИРОК ЦЕНТЪР - в непосредствена близост до бул. цар Борис III, Медицинска Академия, Лагера, Руски паметник, хранителни магазини и супермаркети.Сградата е ПРЕД АКТ 15 и срок на завършване 2023 г. АКТ 16 !!!Избор на апартаменти. СТЕПЕН на завършеност:- 100% поставена хидроизолация- Над 85% изградена електрическа инсталация- Над 80% изградена ВиК инсталация- Над 80% поставени дограми- Над 80% поставена мазилка Предлагаме Ви:3-стаен апартамент с:Обща площ: 132.1 кв. м.Чиста застроена площ: 113.6 кв. м.Изложение: юг ПРЕДИМСТВА:- Качествено строителство с висококачествени материали- Дългогодишен и доказан инвеститор- Идеална локация- Сигурност и поддръжка жива охрана и видеонаблюдение, озеленяване- Удобства: басейн, фитнес, паркоместа, паркова среда, детски площадки, беседки, зони за отдих и релакс.- Най-изгодните цени на пазара!  ВЪЗМОЖНОСТИ: - Избор на тип апартамент, изложение и етаж- Кредитиране при преференциални условия За повече информация и огледи: 0876 900 555 / 0882 442295 Възможности при сключване на предварителен договор:Цена с възможност за договаряне на схема на плащане: 279 500 Евро с ДДСПРОГНОЗНА ЦЕНА след АКТ 16 - 12.2023 г.: 309 456 Евро с ДДСВъзможен е коментар при сериозен интерес! Съдействаме за кредитиране от водещи банки при преференциални условия! Всички наши оферти можете да намерите на:www. goldenkeybg. comwww. gkeygroup. comoffice@gkeygroup. com Виж по-малко... Виж повече",fbf23fd24bf3979b1a32525864d44525531ca32146adde2dbc33a0132e95e5c8,257634,EUR,132,1951.77,Център,2023-11-12 20:12:55.000,"Руски паметник, бул. цар Борис III, Лагера, Медицинска Академия"
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b168962768296196,град София,Център,"2-СТАЕН","Comfort Properties Group има удоволствието да представи на своите клиенти Бутикова сграда в широк център на СофияСградата е разположена в централната част на столицата: на пешеходно разстояние от повечето културни забележителности на стара София и все пак на тихо и спокойно място с ниски нива на шумово замърсяване.Параметри на апартамента :Двустаен апартамент разположен на четвърти етаж с обща площ 94.15 кв/м ( застроена площ 79.66 кв.м). Апартамента е с изложение Запад. Апартамента се издава на шпакловка и замазкаРазпределение:Входно антре, просторна дневна с кухненски бокс,  спалня, баня с тоалетна, гардеробна/килер, балкон с изход от двете стаи.Цена: 178 885 евроВ сградата разполагаме с три апартамента със същата площ, разпределение и изложение (един над друг):Етаж 3 на цена: 178 885 евроЕтаж 4 на цена: 183 593 евроЕтаж 6 на цена: 214 082 евроИма възможност за закупуване на подземни  паркоместа от 23.000-25.000 евро, партерни и подземни гаражи    35 000 евро.Сградата  съчетава най-доброто от двата свята: градска атмосфера и спокойно уединение в приятна и добре поддържана част на широкия център.Сградата се намира както в непосредствена близост до спирки на градския транспорт, така и на пешеходно разстояние от:           Здравни заведения, болници и медицински лаборатории;           Търговски центрове и закрити пазари;           Държавни институции и обществени сгради;           Паркове, зелени и пешеходни зониВ близост до своя нов дом ще можете да откриете:           Лъвов мост, преминаващ над Владайската река           Регионален исторически музей на София           Националният археологически музей           Националният политехнически музей           Централната Софийска джамия от XVI век           Древната каменна църква  Света Петка Самарджийска            Храмът  Света Неделя            И десетки другиИмотът се характеризира с модерно и качествено строителство, при спазване на съвременните европейски стандарти в бранша и висок клас на използваните материали:  7-камерна дограма    REHAU Synego', троен стъклопакет - 4 сезона + бяло + К стъкло;  Асансьор - KONE, ниско шумен, иноксов, с автоматични врати. Автомобилният асансьор е с хидравлична рампа, резервно електрозахранване и дистанционно управление;  Общите части са удобни и луксозни, изпълнени от гранит, мрамор и гранитогрес;  Отопление - ТЕЦ, с монтирани алуминиеви радиатори, включени в цената и климатици;  Топлоизолация - EPS 10 см топлоизолационен слой Caparol Dalmatina;  Стени, тавани, под - гипсова шпакловка Baumit или Rofix, циментова замазка;  Домофонната система предвижда отключване на входната врата от всеки апартамент; Виж по-малко... Виж повече",cddafa168a42212ee2a69ffefd4a27813d3319080ad501bbb92563c9043b3f48,178885,EUR,94,1903.03,Център,2023-11-12 20:07:48.000,"Света Петка Самарджийска, Националният археологически, европейски, Храмът Света Неделя, Лъвов мост, Националният политехническифи"
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b168613603699687,град София,Център,"2-СТАЕН","СГРАДА С АКТ 14! АКТ 16 НАЧАЛОТО НА 2024Г. МАЛКА БУТИКОВА СГРАДА С ПО ДВА АПАРТАМЕНТА НА ЕТАЖ! ВИСОКО КАЧЕСТВО НА СТРОИТЕЛСТВОТО! СТРОИТЕЛ С 20 ГОДИШЕН ОПИТ И МНОГО ПОСТРОЕНИ СГРАДИ. Функционално разпределение: Просторна Кухня с всекидневна, голяма спалня излизащи на общ балкон, баня с тоалетна, коридор. Луксозни общи части. Тих район с много зеленина. Наблизо Метростанция 'Константин Величков'. Има възможност за закупуване и на паркомясто. Гъвкава схема на плащане. Модерно и качествено строителство, при спазване на съвременните европейски стандарти в бранша. Висок клас на използваните материали. Дограмата е петкамерна PVC. Има със същото разпределение апартамент и на друг етаж. Безплатнa консултация и съдействие при кандидатстване за кредит във всички банки при преференциални условия! За контакт: Камелия Славейкова 0885604448",b990e7fa169ad47d5306044cc8f88af84f598dd840d8bc78b5d5354d0be645b7,175000,EUR,83,2108.43,бул. Ал. Стамболийски,2023-11-12 20:07:58.000,"Метростанция ' Константин Величков ', европейски"
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b165562625173864,град София,Център,"2-СТАЕН","Unique Estates има удоволствието да Ви представи апартамент, намиращ се в нов представителен комплекс до най-новия и предпочитан парк - Възраждане, Mall Sofia и Руски паметник.Районът е с добре изградена инфраструктура, както и много зелени площи - изключително благоприятна среда за отглеждане на деца. Апартаментите ще бъдат с рационално разпределение, високи тавани и паркомясто. Отоплението ще е централно.Изготвен е план за инвестиционна възвращаемост.   Входно антре, хол с кухня и трапезария, една спалня, една баня, балкон Цената е с включен ДДС.  Ref. ID:16909","67ce46b1da1848f90ca63e808e0b46545ef78ea219e98bdb8392c41ab5d35a10",0,Missing,60,0.00,Център,2023-11-12 20:07:52.000,"Възраждане, Mall Sofia, Руски паметник"
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c169926949364299,град София,Център,"3-СТАЕН","Апартаментът се намира на втори етаж в шест етажна сграда.Състои се от коридор с представително антре, две спални с баня към всяка от тях, обособени работни кътове във всяка спалня, елегантна дневна с кухненски бокс и трапезария. Имота има високи тавани, нова висококачествена алуминиева дограма, ролетни комарници, висок клас топло- и шумоизолация. гр. София, Апартаментът се намира на бул. Ген. Ген. М. Д. Скобелев близо до парк, НДК, училища, магазини, метро, транспорт. гр. София, 1940 г., ТОП ТОП ТОП локация! ТОП Локация!До НДК, Метро, 2 етаж, лукс обзавеждане!  Обади се сега и цитирай този код 567971","49ad4f2296593547186efcefe3848802fb211eea8d970bdd56e6171d71be7857",460000,EUR,115,4000.00,Център,2023-11-12 20:11:37.000,"НДК, бул. Ген. Ген. М. Д. Скобелев"
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c166669800672302,град София,Център,"3-СТАЕН","Отлично място в центъра, ул. Раковски, близо до метростанция НДК, транспорт, магазини, училище, поликлиника, 3-стаен преходен апартамент 97 м2, партер, ТЕЦ, тухла 1964 г. Разпределение: Хол с преход към 2 стаи, кухня със самостоятелен кухненски бокс, баня с тоалетна, 1 балкон на кухня към вътрешен двор, таван 6 м2 и мазе 6м2. Настилки: паркет в хола и в стаите, в кухнята - дюшаме, в коридора - мозайка, в банята - фаянс и мозайка, дървена дограма. Гледка към озеленен вътрешен двор. Изложение изток/запад. Възможност за преустройство. Възможност за втори вход откъм вътрешния двор. Апартамента може да се използва за живеене, офис, нотариална кантора, представителство, магазин и др. 0888 88 23 37","433a969de7a8e6e80dfcb013088fd606fe5f5a747b677ea95ec59e34052ec179",294888,EUR,97,3040.08,ул. Георги С. Раковски,2023-11-12 20:12:13.000,"ул. Раковски, метростанция НДК"
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c169925430765302,град София,Център,"3-СТАЕН","Тристаен, тухлен апартамент в центъра на София  със светла площ 80 кв.м.; прилежащо мазе с площ 5,73 кв.м.,  в едно със  съответните  идеални части от дворното място, в което е построена сградата. Състои се от две спални, хол, кухня, два санитарни възела, две тераси. Жилището е разположено на първи етаж. Отоплението е на ТЕЦ.  Централна локация, в близост до метростанция Сердика, Министерски съвет, Музей на София. Сграда от 1984г. Има действащ асансьор. Заключващ се вход, достъп с чип. Малка градинка пред сградата и озеленен вътрешен двор - добре поддържан, с детска площадка, беседка и място за отдих. На пешеходно разстояние - метростанция, хипермаркети, детски градини, училища. Обади се сега и цитирай този код 595201",c40074dad8f6708d1a1854438dcfa3194b5a2aaa271212ed1921964c7c14d50e,199000,EUR,80,2487.50,Център,2023-11-12 20:10:16.000,"Министерски съвет, метростанция Сердика"
