"ad_url","ad_city","ad_neighborhood","ad_type","ad_description","ad_hash","ad_price","ad_currency","ad_kvm","ad_price_per_kvm","ad_street","updated_ts"
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167576718544061,град София,Център,"2-СТАЕН","ЦЕНТЪР!!! МЕТРО!!! СТАРА ТУХЛА!!! Evolut недвижими имоти има удоволствието да Ви представи, чудесен апартамент в центъра на София, на 50м от бул. Стамболийски и 150м от мол София. Имота се състои от коридор, две стаи, вестибюл, кухня и тоалетна. Височината на таваните е около 4м. Има възможности за преустройство и апартамента да стане с две спални. Към имота има мазе - 6.59 кв.м. и таван - 8.88 кв.м. Срещу сградата има подземен паркинг с възможност за закупуване или наемане на паркомясто. За Ваше улеснение сме приложили схема с разпределението на имота. За повече информация се обадете и цитирайте този код:  32360","74ffd39dec17e365e25c98349059e87326ad812a98b00b6f29d5e1edc1d623e1",129999,EUR,59,2203.37,Център,2023-10-07 09:22:28.000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b168908201358919,град София,Център,"2-СТАЕН","Просторен двустаен апартамент със застроена площ от 84.04 кв.м и обща площ от 111.24 кв.м.Състои се от: входно преддверие, дневна с кухненски бокс и трапезария, спалня, баня с тоалетна и тераса.Изложение: Запад. Жилищната сграда е разположена в широкия Център на града. Локацията предлага, близост до  метростанция и всички удобства ползващи се в кв. Център. Новострояща се осеметажна тухлена сграда. Състои се от едно подземно ниво, отредено за паркинг с паркоместа, гаражи и мазета, партерно ниво с гаражи и седем жилищни етажа. Качествено изпълнена с най-висок клас материали, функционални разпределения на жилищата. Имоти подходящи за инвестиция и живеене. * Широк Център* До метростанция* Функционални разпределение* Качествено строителство* Атрактивна схема на заплащане Обади се сега и цитирай този код 584956",dc4f53836ee6d34e626a21a7810a37086d7de78da361acd9003b6afc9e7a44c1,244728,EUR,111,2204.76,Център,2023-10-07 09:22:28.000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167284276499238,град София,Център,"2-СТАЕН","'Рея Интернешънъл' ексклузивно предлага за продажба, изключителни апартаменти в нова сграда, в сърцето на града и в близост до ул. Кърниградска.Елитният имот се намира в центъра на града , в близост до ул. Кърниградска и Витошка,като предлага отлични условия за  луксозен стил на живот. Сградата се характеризира с висок стандарт , спокойствие и отлична локация .Апартаментът се състои от дневна и кухненски бокс; спалня; баня и тоалетна; склад ( мокро помещение ); две тераси пред спалнята и дневната. Степен на завършеност: шпакловка и замазка. Акт за ползване: до ноември 2023 гСградата е проектирана  така, че всяко едно от изложенията на жилищата да получава максимална  слънчева светлина. Амбицията на инвеститора е сградата  да се превърне в обединител на хармонията, лукса и уюта в дома, съобразени с функционалността на пространството и комфорта на спокойния живот.При строителството на имота се използват само  най- висок клас стоителни материали.Сградата  е многофамилна жилищна, с подземен гараж,  и  5  жилищни етажа.Обявената продажна цена е без ДДС!За контакт: Румяна Делева тел:0888620610 Виж по-малко... Виж повече",cd067e68b17679707f160fd707f0f774620135b3270b169dc94e08a828ab5e27,0,Missing,77,0.00,ул. Кърниградска,2023-10-07 09:22:28.000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b168864934349787,град София,Център,"2-СТАЕН","Двустаен апартамент със застроена площ от 63 кв.м. Състои се от: антре, дневна с кухненски бокс, спалня; баня с тоалетна и тераса. Гъвкави схеми на плащане. В близост до метростанция . Проектирана е с функционални двустайни и тристайни апартаменти.Изложение на жилищата: запад /изток. Хидравличен пътнически асансьор KONE. Двуцветна трикамерна ПВЦ дограма с троен стъклопакет/ Четири сезона  и к-емисионно стъкло/. Отопление и топла вода на ТЕЦ с монтирани разводки за климатици в дневните. Охранителна система с видеонаблюдение, осветление с датчици за движение, видеодомофонна система и контрол на достъп.Жилищата се предават на фина мазилка и замазка с монтирана блиндирана входна врата. Ел. инсталация-монтирани ключове, контакти, фасонки, индивидуално апартаментно ел. табло със съответните токови кръгове и автоматични предпазители на 'LEGRAND . Водопроводна инсталация - хоризонтална и вертикална до тапа и монтирани индивидуални водомери с дистанционно отчитане. Вътрешна канализация - хоризонтална и вертикална до тапа. Топлопроводна инсталация- хоризонтална и вертикална с монтирани радиатори и термоглави. Инсталация за кабелна телевизия, интернет и телефон. Етап на строителство: В строеж ! Разрешени за ползване -Декември 2024г. Доказан инвеститор с много качествени сгради в гр.София. Разположението е безупречно в един от най-атрактивните райони за живеене в столицата. Близо до паркове в София, свежест, растителност и комуникативност. За да има баланс и за хората, които обичат динамичното ежедневие, сградата се недалеч от столичен търговски център Mall Sofia. Въпреки комуникативната си локация, ние сме наблегнали на зеленината около сградата, защото какво по-хубаво от това вкъщи да е в непосредствена близост до красивите раззеленени дървета през пролетта, носещи прохлада през лятото, красота през есента и бял уют през зимата. Обади се сега и цитирай този код 582802 Виж по-малко... Виж повече",cfd89e1d0d94401758e085c2afa0aaf15acdaa9d484847afe4432867913929df,140900,EUR,63,2236.51,Център,2023-10-07 09:22:28.000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b169330871397766,град София,Център,"2-СТАЕН","Отлично местоположение: район Оборище, до ул. Стара планина, на тихо и комуникативно място, в близост до Парк Заимов. Нова тухлена сграда от 2004г, с външна топлоизолация. Апартаментът е със застроена площ - 68,10 кв.м.; Мазе 3,9кв.м.. Разпределение: среден, непреходен: коридор с поръчкови вградени гардероби, просторна дневна с кухненски бокс с вградена кухня, спалня -12кв.м., тераса пред двете стаи, баня с тоалетна, с подови настилки - ламиниран паркет, ПВЦ дограма. Необзаведен. Отопление: ТЕЦ с алуминиеви радиатори, климатик. Отлични общи части. Изложение - изток, панорама. Топъл, икономичен.","5c34a3810315c9c5406b57d885f42f58249ee2212accd24b63055e8b89b09fa0",233000,EUR,83,2807.23,Център,2023-10-07 09:22:28.000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167895523506679,град София,Център,"2-СТАЕН","Имоти Премиер представя на Вашето внимание тристаен апартамент в района на кв. Център.Жилището се намира в новострояща се сграда в центъра на София-ул.Тимок. Строителство отговарящо на най-високите стандарти - Енергоефективност клас 'А', вентилируема фасада, топлоизолация от каменна вата, висок клас дограма. Сградата разполага с 6 жилищни етажа с по два апартамента на етаж, партерен етаж и сутерен с паркоместа и гаражи.Отопление- Електричество.Към момента има свободни два двустайни и два тристайни апартамента на цени от 1800   кв.м. с ДДС. Паркоместа на цена 15 000  и гаражи от 30000 . Гъвкави схеми на плащанеЕтап на строеж- кота 0. Краен срок на звършване -средата на 2024г.Тристаен ап.   8 ет. 4 с площ 116,67 кв.м. с общи части.Тристаен ап.  10 ет. 5 с площ 115,42 кв.м. с общи части.Код на обявата 345644","6a1b98a4091fbfbb0d9f7ca83aaa7431036abae6e5145443e242e3ed2c4b4047",210006,EUR,117,1794.92,Център,2023-10-07 09:22:27.000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b168386787713913,град София,Център,"2-СТАЕН","УНИКАЛНА ПАНОРАМА!!! Имоти ООД представя на Вашето внимание 2 стаен апартамент, находящ се на комуникативно, но същевременно тихо място, в близост до централна автогара. Апартаментът е с ЧЖП 60 кв.м, има 12 кв. м остъклена тераса пред всички стаи и таванско помещение от 10 кв. м. Състои се от широк коридор, отделна кухня, хол и преходна спалня, баня с тоалетна. Настилките в стаите са естествен паркет, а в кухнята и коридора   теракот. Стените са боядисани с висококачествен латекс. Банята е на фаянс и теракот. Отоплението и топлата вода са посредством ТЕЦ, има поставени климатици и бойлер. Апартаментът се продава НАПЪЛНО ОБЗАВЕДЕН!1.Хол - климатик Грее 12-ска с wi-fi модул, смарт телевизор Сони 65 инча, два дивана плюс един фотьойл, нископрофилна маса, секция която е монтирана на стената и е поставен телевизора. 2. Спалня - двукрилен гардероб с вътрешно осветление и плъзгащи врати с плавно затваряне, климатик Панасоник 12-ска, смарт телвизор Сони 55 инча. Тапицирана луксозна спалня с четери амортисьора.3. Кухня - климатик Кайсай 12-ска с wi-fi модул. Смарт телевизор Тошиба 42 инча. Смарт фурна Бош за вграждане с wi-fi управление - висок клас. Съдомиялна Бош за вграждане. Масивна маса и диван. Пералня LG и хладилник с фризер Whirpool с диспенсър. 4. В банята има чисто нов бойлер Tesy с гаранция три години. Адаптивна алармена система с допълнителен модул за уведомление при активиране. Камера за видео наблюдение с модул за 4G карта. Лицево разпознаване и двупосочна комуникация.Обща стойност на обзавеждането над 22 000 лв. Пред сградата има безплатен паркинг, обслужващ живущите в блока. За контакти: Емилия Христова   тел. 0884188279 Виж по-малко... Виж повече",e44f6eb911779bd244c6c3f903ede3ea984676016ecb923f2bb1fe8d7f682394,147000,EUR,82,1792.68,ул. Княз Борис I,2023-10-07 09:22:27.000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b169494274680156,град София,Център,"2-СТАЕН","Агенцията предлага апартамент в центъра на София.Жилището е след основен ремонт.Сменено ВиК,цялата ел.инсталация,нова мазилка ,нова подова настилка,нови врати,дограма...Намира се на ул.Козлодуй и Раковска.За повече информация Антонов.","06a291950fb2579adb1a2f67ee6cdd8a5aa83cf98612f203697cc05c4d40360f",100000,EUR,40,2500.00,ул. Козлодуй,2023-10-07 09:22:27.000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167621025314442,град София,Център,"2-СТАЕН","Продава двустаен апартамент в новопостроена сграда в сърцето на административния, архитектурен и културен център на София на метри от Президентство и Министерски съвет. Жилището се намира в малка луксозна сграда с 18 апартамента част от които вече са продадени. Сградата е с взет акт 14, предстоящ акт 15 до края на месец март, а очакван срок за акт 16-разрешение за ползване до началото на лятото на 2023г. Жилището се състои от дневна с кухненски бокс, спалня, баня с WC, коридор и тераса. В посочената квадратура е включено мазе с площ 2 кв.м. Има възможност за запазване право за закупуване на паркомясто, което е бъде изградено на следващ етап във вътрешния двор на сградата. Апартаменти със същата квадратура има свободни за продажба също на 1,4 и 5 етаж. За повече информация и огледи може да се свържете с нас на тел.0888972372 или на електронната ни поща. Агенцията работи и през почивните дни и оказва пълно съдействие при ипотечно кредитиране.",bd6ec0490acc0995054499797783a3cee5838f15fd2827a2123167d9d2b12a17,192200,EUR,62,3100.00,Център,2023-10-07 09:22:27.000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167835326365165,град София,Център,"2-СТАЕН","Компания `ЕКС` представя на Вашето внимание обзаведен, двустаен апартамент в центъра на гр. София.МЕСТОПОЛОЖЕНИЕ:В близост до метростанция, магазини за хранителни стоки, детска градина, училище, спирка на градски транспорт, основни пътни артерии.СТРОИТЕЛСТВО: Апартаментът се намира на на 4-ти етаж в тухлена сграда от 2005 г.РАЗПРЕДЕЛЕНИЕ: Жилището разполага с площ от 55 кв.м. разпределена във входно антре, дневна с трапезария и кухненски бокс, спалня, баня с тоалетна и тераса. Към имота има прилежащи 1/5 идеални части от двора на кооперацията, което се използва като паркинг.СЪСТОЯНИЕ: Обзаведен и оборудван с всичко необходимо.Заповядайте да Ви го покажем. Използвайки нашите услуги Вие ще превърнете закупуването на новия си дом в едно приятно изживяване, ще получите персонален консултант, съдействие при кандидатстване за кредит от всички банки в България, интериорни дизайнери и екип, който да се погрижи за нужните документи по Вашата сделка. На Ваше разположение сме всеки ден, от понеделник до неделя от 09:00 до 20:00ч. Възползвайте се от безплатна консултация в наш офис, където ще ви спестим време и ще ви запознаем с всички актуални имоти в България, отговарящи на Вашето търсене. Свържете се с нас на 0700 707 97 /на цената на един градски разговор/ или на 0886 12 12 57 и цитирайте кода към имота:  40452. Виж по-малко... Виж повече","5bf4e7ceaef703125f505689ba523e94e4041f4f2d724fac0a69467211655c42",125000,EUR,55,2272.73,Център,2023-10-07 09:22:26.000
