ad,word,tag
1b167576718544061,Продава,O
1b167576718544061,апартамент,O
1b167576718544061,в,O
1b167576718544061,Център,B-GPE
1b167576718544061,.,O
1b167576718544061,ЦЕНТЪР,O
1b167576718544061,!,O
1b167576718544061,!,O
1b167576718544061,!,O
1b167576718544061,МЕТРО,O
1b167576718544061,!,O
1b167576718544061,!,O
1b167576718544061,!,O
1b167576718544061,СТАРА,O
1b167576718544061,ТУХЛА,O
1b167576718544061,!,O
1b167576718544061,!,O
1b167576718544061,!,O
1b167576718544061,Evolut,O
1b167576718544061,недвижими,O
1b167576718544061,имоти,O
1b167576718544061,има,O
1b167576718544061,удоволствието,O
1b167576718544061,да,O
1b167576718544061,Ви,O
1b167576718544061,представи,O
1b167576718544061,",",O
1b167576718544061,чудесен,O
1b167576718544061,апартамент,O
1b167576718544061,в,O
1b167576718544061,центъра,O
1b167576718544061,на,O
1b167576718544061,София,B-GPE
1b167576718544061,",",O
1b167576718544061,на,O
1b167576718544061,50м,B-QUANTITY
1b167576718544061,от,O
1b167576718544061,бул,O
1b167576718544061,.,B-FAC
1b167576718544061,Стамболийски,I-FAC
1b167576718544061,и,O
1b167576718544061,150м,B-QUANTITY
1b167576718544061,от,O
1b167576718544061,мол,O
1b167576718544061,София,B-GPE
1b167576718544061,.,O
1b167576718544061,Имота,O
1b167576718544061,се,O
1b167576718544061,състои,O
1b167576718544061,от,O
1b167576718544061,коридор,O
1b167576718544061,",",O
1b167576718544061,две,B-CARDINAL
1b167576718544061,стаи,O
1b167576718544061,",",O
1b167576718544061,вестибюл,O
1b167576718544061,",",O
1b167576718544061,кухня,O
1b167576718544061,и,O
1b167576718544061,тоалетна,O
1b167576718544061,.,O
1b167576718544061,Височината,O
1b167576718544061,на,O
1b167576718544061,таваните,O
1b167576718544061,е,O
1b167576718544061,около,B-QUANTITY
1b167576718544061,4м,I-QUANTITY
1b167576718544061,.,O
1b167576718544061,Има,O
1b167576718544061,възможности,O
1b167576718544061,за,O
1b167576718544061,преустройство,O
1b167576718544061,и,O
1b167576718544061,апартамента,O
1b167576718544061,да,O
1b167576718544061,стане,O
1b167576718544061,с,O
1b167576718544061,две,B-CARDINAL
1b167576718544061,спални,O
1b167576718544061,.,O
1b167576718544061,Към,O
1b167576718544061,имота,O
1b167576718544061,има,O
1b167576718544061,мазе,O
1b167576718544061,-,O
1b167576718544061,6,B-QUANTITY
1b167576718544061,.,I-QUANTITY
1b167576718544061,59,B-QUANTITY
1b167576718544061,кв,I-QUANTITY
1b167576718544061,.,I-QUANTITY
1b167576718544061,м,I-QUANTITY
1b167576718544061,.,I-QUANTITY
1b167576718544061,и,O
1b167576718544061,таван,O
1b167576718544061,-,O
1b167576718544061,8,B-QUANTITY
1b167576718544061,.,I-QUANTITY
1b167576718544061,88,B-QUANTITY
1b167576718544061,кв,I-QUANTITY
1b167576718544061,.,I-QUANTITY
1b167576718544061,м,I-QUANTITY
1b167576718544061,.,O
1b167576718544061,Срещу,O
1b167576718544061,сградата,O
1b167576718544061,има,O
1b167576718544061,подземен,O
1b167576718544061,паркинг,O
1b167576718544061,с,O
1b167576718544061,възможност,O
1b167576718544061,за,O
1b167576718544061,закупуване,O
1b167576718544061,или,O
1b167576718544061,наемане,O
1b167576718544061,на,O
1b167576718544061,п,O
1b168908201358919,Продава,O
1b168908201358919,апартамент,O
1b168908201358919,в,O
1b168908201358919,Център,B-FAC
1b168908201358919,.,O
1b168908201358919,Просторен,O
1b168908201358919,двустаен,O
1b168908201358919,апартамент,O
1b168908201358919,със,O
1b168908201358919,застроена,O
1b168908201358919,площ,O
1b168908201358919,от,O
1b168908201358919,84,B-QUANTITY
1b168908201358919,.,I-QUANTITY
1b168908201358919,04,B-QUANTITY
1b168908201358919,кв,I-QUANTITY
1b168908201358919,.,I-QUANTITY
1b168908201358919,м,I-QUANTITY
1b168908201358919,и,O
1b168908201358919,обща,O
1b168908201358919,площ,O
1b168908201358919,от,O
1b168908201358919,111,B-QUANTITY
1b168908201358919,.,I-QUANTITY
1b168908201358919,24,B-QUANTITY
1b168908201358919,кв,I-QUANTITY
1b168908201358919,.,I-QUANTITY
1b168908201358919,м,I-QUANTITY
1b168908201358919,.,O
1b168908201358919,Състои,O
1b168908201358919,се,O
1b168908201358919,от,O
1b168908201358919,:,O
1b168908201358919,входно,O
1b168908201358919,преддверие,O
1b168908201358919,",",O
1b168908201358919,дневна,O
1b168908201358919,с,O
1b168908201358919,кухненски,O
1b168908201358919,бокс,O
1b168908201358919,и,O
1b168908201358919,трапезария,O
1b168908201358919,",",O
1b168908201358919,спалня,O
1b168908201358919,",",O
1b168908201358919,баня,O
1b168908201358919,с,O
1b168908201358919,тоалетна,O
1b168908201358919,и,O
1b168908201358919,тераса,O
1b168908201358919,.,O
1b168908201358919,Изложение,O
1b168908201358919,:,O
1b168908201358919,Запад,B-LOC
1b168908201358919,.,O
1b168908201358919,Жилищната,O
1b168908201358919,сграда,O
1b168908201358919,е,O
